text,label,source,original_label,sample_weight
"In the past three years, we have prosecuted or brought more cases on access to public records than in the previous 12 years combined.",Real,LIAR,true,1.0
"Financial conflict-of-interest laws dont apply to the president, right? So, the president doesnt have to have a blind trust.",Real,LIAR,true,1.0
"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",Real,LIAR,mostly-true,1.0
"Under Rick Scott, homeowners are paying higher (home insurance) premiums for less coverage.",Real,LIAR,mostly-true,1.0
Says Charlie Crist rode on a jet that belongs to a serial polluter with a history of environmental violations fined nearly $2 million for polluting water.,Real,LIAR,true,1.0
"Because of union rules, cooks helpers moved into DMV jobs they were not trained for",Real,LIAR,half-true,1.0
Says he never donates to Democrats while Paul Workman contributes to Democrat Kirk Watson and other Democrats running against Republicans.,Real,LIAR,half-true,1.0
"If you are African-American in this country today, you are likely to have a net worth of about 10 percent of what white families have.",Real,LIAR,true,1.0
We got the highest vote count in the history of the Republican Party.,Real,LIAR,mostly-true,1.0
"Bill McCollumhas ""recovered $200 million in Medicaid fraud.""",Real,LIAR,true,1.0
The federal government is spending 25 percent of our entire economy versus 100 years ago we spent only 2 percent.,Real,LIAR,true,1.0
The Koch network (is) spending more money (in a Senate race) in Ohio than anywhere else in the country.,Real,LIAR,true,1.0
The U.S. would gainrevenue by cutting personal income tax rates in half and ending tax breaks.,Real,LIAR,true,1.0
Says David Prosser = Scott Walker.,Real,LIAR,half-true,1.0
$16 trillion (the national debt) in $1 bills would cover the entire state of Ohio nearly 1.5 times.,Real,LIAR,true,1.0
Says Israel profiles based on ethnicity and does it very successfully.,Real,LIAR,half-true,1.0
"Says Patrick Murphy supports a gun ban on commonly owned semi-automatic firearms used for hunting, recreational shooting and self defense.",Real,LIAR,mostly-true,1.0
"Every American now is $51,000 in debt. Thats money I owe, thats money my children owe before they even go to kindergarten, thats their check to the federal government right now.",Real,LIAR,mostly-true,1.0
We created as many jobs in the first six months of this year as we did in all of 2011 and 2011 was the best single year for private-sector job growth since the year 2000.,Real,LIAR,true,1.0
There is not a single documented case of abuse of the bulk metadata collectionprogram.,Real,LIAR,half-true,1.0
(Romney's) record was that he raised taxes by $730-million.,Real,LIAR,half-true,1.0
"Says Charlie Crist stood there, over 3 African-American prisoners inchains, on their knees, on the side of the road. Saying that it was a great sight. Saying we needed to bring it to Florida.And you did this whether you know or not on the eve of Juneteenth, the day the African-American community celebrates the end of slavery.",Real,LIAR,half-true,1.0
"The richest 400 taxpayers are taxed at a lower rate than a $29,000-a-year worker",Real,LIAR,mostly-true,1.0
Some of these members of the House of Representatives get hundreds of thousands of dollars in farm subsidies but want to cut food stamps.,Real,LIAR,true,1.0
"Says Chris Abele, opponent in Milwaukee County executive race, failed to finish 3 separate colleges, dropping out all 3 times.",Real,LIAR,mostly-true,1.0
"In the three months before the act took effect, America lost 750,000 jobs a month. In the last three months, we've lost about 35,000 jobs a month.",Real,LIAR,mostly-true,1.0
We cut taxes for 95 percent of working families.,Real,LIAR,true,1.0
"Says President Barack Obamasown administration has done five environmental impact assessments of the Keystone XL pipeline, all of which have said it would have a minimum impact on the environment.",Real,LIAR,half-true,1.0
"If you want to see the jobs that Ive saved and created in this storm he helped create, go anywhere in Ohio.",Real,LIAR,mostly-true,1.0
"In 1998, nearly half of Floridas fourth-graders were functionally illiterate. Today, 72% of them can read.",Real,LIAR,mostly-true,1.0
"Says Donald Trump is the first person running for president, Republican or Democrat, who refused to say that he would respect the results of this election.",Real,LIAR,mostly-true,1.0
"As a senator, Hillary Clinton has her name on three laws in eight years.",Real,LIAR,half-true,1.0
Women have come through the recession worse off than men the numbers bear that out. We went from a 7 percent unemployment rate for women when he (President Barack Obama) was elected to an 8.1 percent now.,Real,LIAR,mostly-true,1.0
"Bill McCollum voted four times to raise his own pay, by a total of $51,000, and earns a congressional pension worth more than $75,000 a year.",Real,LIAR,true,1.0
A majority of Americans still oppose this health care bill.,Real,LIAR,mostly-true,1.0
Says Detroit dumping a bunch of sewage in Lake Erie causes big problems for Ohio.,Real,LIAR,half-true,1.0
"Rob Portman has taken more than $125,000 from Big Oil.",Real,LIAR,mostly-true,1.0
Firearms homicides are down about 40 percent since Texas passed concealed-gun permit law.,Real,LIAR,mostly-true,1.0
A strong majority of Americans support the Keystone XL pipeline.,Real,LIAR,mostly-true,1.0
There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,Real,LIAR,mostly-true,1.0
The state budget has actually grown by $4.6 billion under Gov. Scott Walkers actions.,Real,LIAR,half-true,1.0
"The primary election results show Democrats are strong in Kentucky because the Democratic candidates ""both got more votes than Rand Paul did.""",Real,LIAR,half-true,1.0
"Under the House Republican budget, if these cuts were to be spread out evenly the year after next, nearly 10 million college students would see their financial aid cut by an average of more than $1,000 each.",Real,LIAR,half-true,1.0
Dan Patrick got caught not paying his taxes and pocketed his employees payroll taxes.,Real,LIAR,half-true,1.0
"The U.S. initially had three federal felonies: treason, piracy, and counterfeiting securities and money.",Real,LIAR,mostly-true,1.0
Says 95 percent of people caught crossing the U.S.-Mexico border said in a survey we are coming because weve been promised amnesty.,Real,LIAR,half-true,1.0
"Every 20 seconds, a child dies because they lack access to clean water and sanitation.",Real,LIAR,half-true,1.0
Floridas high school graduation rate falls well below the national average.,Real,LIAR,true,1.0
The Arab Spring drove up gas prices.,Real,LIAR,half-true,1.0
Says the 2014-15 Texas budget increases spending by less than the rate of inflation and population growth.,Real,LIAR,mostly-true,1.0
"Under economic sanctions, now Iran is suffering 30 percent inflation, 20 percent unemployment.",Real,LIAR,mostly-true,1.0
There are at least twice as many licensed firearm dealers in California as there are McDonalds.,Real,LIAR,true,1.0
"I think with the exception of the last year or maybe the last two years, we were at 100 percent when it came to contributing to the Providence pension fund.",Real,LIAR,mostly-true,1.0
"Grateful insurance company executives and their lobbyists from Bermuda gave McCain $50,000.",Real,LIAR,true,1.0
We have lower family incomes in Illinois today than we had 17 years ago in Illinois ...because of the control of (House) Speaker (Michael) Madigan and his Democrats.,Real,LIAR,half-true,1.0
"If you look at most of the polls, this is a margin-of-error race on Fourth of July between Mitt Romney and the president.",Real,LIAR,true,1.0
Every one of the mass shootings except two in America since 1950 have been in gun-free zones.,Real,LIAR,half-true,1.0
Im also the only lieutenant governor to not take a security detail.,Real,LIAR,mostly-true,1.0
"In the last 15 years, weve witnessed a dramatic expansion in the jailing of immigrants, from about 70,000 people detained annually to about 400,000.",Real,LIAR,true,1.0
"Last year, handguns killed 48 people in Japan, 8 in Great Britain, 34 in Switzerland, 52 in Canada, 58 in Israel, 21 in Sweden, 42 in West Germany and 10,728 in the United States.",Real,LIAR,half-true,1.0
Were worse than a Third World country in terms of water quality and the way we treat our sewage.,Real,LIAR,half-true,1.0
"Russia has tremendous numbers of nuclear warheads 1,800, by the way where they expanded, and we didnt.",Real,LIAR,half-true,1.0
"Just like the U.S. Chamber of Commerce, the AFL-CIO receives dues from foreign entities associated with it.",Real,LIAR,half-true,1.0
I supported tort reform with regard to securities...product liability...interstate commerce.,Real,LIAR,mostly-true,1.0
380 Americans have been killed in 294 mass shootings in 2015 alone.,Real,LIAR,half-true,1.0
"Romneys Medicare plan was estimated to cost the average senior about $6,000 a year.",Real,LIAR,half-true,1.0
"Crist sent his ""top policy staffer to the House Committee to testify in support of the proposal,"" then vetoed the bill.",Real,LIAR,true,1.0
Barack Obama ended up getting re-elected by the largest gender gap in the history of American elections.,Real,LIAR,half-true,1.0
"Says Paul Workman voted in the Democrat primary, supporting Democrats with his vote.",Real,LIAR,true,1.0
The federal health care law tells the American people precisely what type of coverage they have to have.,Real,LIAR,half-true,1.0
The overall fact about illegal immigration is that its not actually getting worse.,Real,LIAR,true,1.0
Were 48th in K-12 funding and 50th in higher education.,Real,LIAR,half-true,1.0
Saysthere are actually more people in poverty now than there were when we started the War on Poverty.,Real,LIAR,mostly-true,1.0
"Says for the first time in the history of the United States, the government cut taxes during wartime",Real,LIAR,mostly-true,1.0
Black children constitute 18 percent of the nations public school population but 40 percent of the children who are suspended or expelled.,Real,LIAR,mostly-true,1.0
"Forty percent of people in this country, illegally, are overstaying visas.",Real,LIAR,mostly-true,1.0
"American Hustleshows the FBI making real-life bribes to Washington politicians. I know, because as your U.S. senator, I turned them down.",Real,LIAR,true,1.0
"After my first year as governor, I was one of the most unpopular governors, maybe the most unpopular governor in the country. ... It changed.",Real,LIAR,true,1.0
Says the military accounts for about 10 percent of Floridas economy.,Real,LIAR,true,1.0
"In Wisconsin, only half of all the adults with serious psychological distress received mental health treatment or medication.",Real,LIAR,mostly-true,1.0
"A lawyer demanded several Houston pastors hand over to the city government many of their private papers, including their sermons.",Real,LIAR,true,1.0
Our tax rates are lower now than they were under Ronald Reagan. Theyre much lower than they were under Dwight Eisenhower.,Real,LIAR,mostly-true,1.0
Says Bill Young voted twice for the Ryan budget that ends the current Medicare system.,Real,LIAR,half-true,1.0
We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale.,Real,LIAR,half-true,1.0
"If Obamacare is fully implemented, 30 million people will still be without health insurance.",Real,LIAR,mostly-true,1.0
"Barack Obama's network of small donors constitutes a ""parallel public financing system.""",Real,LIAR,half-true,1.0
Says Chris Christie created this new category where you could get laid off and just be totally denied unemployment benefits forever.,Real,LIAR,mostly-true,1.0
"Americans, in the last 30 years, have more than doubled the amount of money we are spending per child (on education) and the results have gotten worse, not better.",Real,LIAR,half-true,1.0
"Although we have twice the population of Greece, the state of Florida employs three times fewer government employees.",Real,LIAR,half-true,1.0
Congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure.,Real,LIAR,true,1.0
Initial efforts to strip airport contractors of their special diversity status has no effect on the contracts or the citys diversity goals.,Real,LIAR,true,1.0
The budget I managed at the Department of Education was more than $60 million.,Real,LIAR,mostly-true,1.0
President Barack Obama supports immigration amnesty.,Real,LIAR,half-true,1.0
"Average families are spending roughly $2,000 more a year on energy costs. ... It's like a $2,000 energy tax in just the last seven years, more than three times what the typical American family received from the Bush tax cuts.",Real,LIAR,half-true,1.0
"A lot of what (Cubas) survival depends on is Venezuelan oil money, which is drying up.",Real,LIAR,mostly-true,1.0
"When the presidents spokesman was asked about (Anwar) al-Awlakis son, he said he should have chosen a more responsible father.",Real,LIAR,half-true,1.0
"[A]t his current rate, President Obama will have added more debt to the United State of America by the end of his first term than each of the previous 43 presidents -- combined!",Real,LIAR,half-true,1.0
"Senator Chris Dodd, chairman of the Senate Banking Committee, placed an amendment in the stimulus bill that allowed for banks bailed out with taxpayer money including AIG to hand out huge bonuses.",Real,LIAR,half-true,1.0
African Americans are twice as likely to be arrested and almost four times as likely to experience the use of force during encounters with the police.,Real,LIAR,mostly-true,1.0
"Classified material has a header which says top-secret, secret, confidential. Nothing, and I will repeat this and this is verified in the report by the Department of Justice, none of the emails sent or received by me had such a header.",Real,LIAR,mostly-true,1.0
The video doesn't show the broader picture of the firing that was going on at American troops.,Real,LIAR,mostly-true,1.0
"An audit shows there are 6.5 million people who have active Social Security numbers who are 112 years of age or older,",Real,LIAR,true,1.0
Violent crime is up since the last year of Sharpe James administration. This year its higher. The unemployment rate is almost 15 percent. The high school dropout rate is over 50 percent.,Real,LIAR,half-true,1.0
You see 34 people (are) murdered every single day by gunfire in America.,Real,LIAR,mostly-true,1.0
"Says Mitt Romneys housing policy is, Dont try and stop the foreclosure process. Let it run its course and hit the bottom.",Real,LIAR,half-true,1.0
"The Pentagons survey about the Dont Ask, Dont Tell policy found that 92 percent of service members agree that they could serve ... in a unit in combat without compromising mission readiness.",Real,LIAR,half-true,1.0
"Marijuana today is genetically modified, with THC levels that far surpass the marijuana of the 1970s.",Real,LIAR,mostly-true,1.0
Seven out of the 10 states with the lowest unemployment rates (have) Republican governors That approach that Republicans are using is working.,Real,LIAR,half-true,1.0
Oregon school districts are directing 24 percent of their food budgets to purchase local foods. Thats the highest percentage in the country.,Real,LIAR,half-true,1.0
"Mike Pence voted against expanding the Childrens Health Insurance program, which Hillary helped to start.",Real,LIAR,mostly-true,1.0
"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",Real,LIAR,true,1.0
"Texas ranks: #1 in worker deaths, #1 carbon emissions, #50 in high school graduates, #50 in funding for mental health patients.",Real,LIAR,half-true,1.0
"Nearly 100,000 people get shot every year. Thats 270 people a day and 87 dead.",Real,LIAR,mostly-true,1.0
"The company I created, Point Judith Capital, ""is the only venture capital firm in Rhode Island.""",Real,LIAR,true,1.0
Oregon schools receive millions of dollars per year in federal school lunch assistance and yet they are required to spend that money almost anywhere but Oregon.,Real,LIAR,true,1.0
Republican Bob Donovan has run as a Republican time and again.,Real,LIAR,half-true,1.0
The Castro regime violated international norms by secretly shipping weapons to North Korea in violation of a U.N. embargo.,Real,LIAR,mostly-true,1.0
"Research shows the employer mandate in the House health reform bill would ""place millions 'at substantial risk of unemployment' with minority workers losing their jobs at twice the rate of their white counterparts.""",Real,LIAR,half-true,1.0
Texas spends more per day to house an inmate than we do on a student.,Real,LIAR,true,1.0
We got a million jobs.,Real,LIAR,mostly-true,1.0
It is estimated that Arizona has lost more than $100 million in hospitality industry revenues since passage of the Arizona immigration laws.,Real,LIAR,half-true,1.0
"John McCain has said the economy is ""not his strong suit.""",Real,LIAR,true,1.0
Cobb is one of the largest school systems (in the nation) that is debt free.,Real,LIAR,true,1.0
Wisconsin is one of the highest taxed states in the nation.,Real,LIAR,half-true,1.0
Says Republicans supported legislation on early voting and in-person voting in 2005.,Real,LIAR,true,1.0
Says Mitt Romneys plan calls for a $5 trillion tax cut.,Real,LIAR,half-true,1.0
A World Health Organization report shows that more people are dying of TB.,Real,LIAR,half-true,1.0
About half the people who would qualify for Medicaid expansion in Florida can buy a health care plan for $30 a month on the federal health care exchange.,Real,LIAR,half-true,1.0
Theyve seen employer-supported coverage increase in Massachusetts after this law (Romneycare) was implemented.,Real,LIAR,true,1.0
Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.,Real,LIAR,half-true,1.0
"Says a gun bill before the Senate would make it a federal felony to leave town for more than seven days, and leave someone else at home with your firearms.",Real,LIAR,half-true,1.0
"Every year tobacco kills more Americans than did World War II more than AIDS, cocaine, heroin, alcohol, vehicular accidents, homicide and suicide combined.",Real,LIAR,true,1.0
"Says that in 2009, Jon Huntsman said that the Recovery Act wasnt large enough and as governor he asked for $14.4 billion in federal stimulus funds. Now hes saying that he never supported it.",Real,LIAR,half-true,1.0
"Says for the first time ever, Texas lawmakers are not funding student population growth.",Real,LIAR,mostly-true,1.0
"You worked hard for your money and you paid your taxes when you earned it. Now, (Indiana Republican congressional candidate) Todd Young wants to tax it again when you spend it.",Real,LIAR,half-true,1.0
"Throughout his time in elected office, Barack Obama has taken multiple positions on banning handguns and the D.C. handgun ban.",Real,LIAR,half-true,1.0
"Andrew Jackson was the last president who actually balanced the federal budget, where we had no national debt.",Real,LIAR,mostly-true,1.0
The cost ofa gas tank fill-up has risen$30 sinceBarack Obama became president.,Real,LIAR,mostly-true,1.0
The UK has an unarmed police force and a firearm fatality rate that is 40 times lower per capita than in the U.S.,Real,LIAR,mostly-true,1.0
Says he passed a bill to stop a military requirement that wounded soldiers pay for meals and phone calls.,Real,LIAR,half-true,1.0
Says the New Years Day fiscal cliff deal reduces the deficit.,Real,LIAR,half-true,1.0
"The religious liberty bill proposed in the Georgia House of Representatives does not specifically exclude corporations, which means they can legally claim a religious exemption.",Real,LIAR,true,1.0
"It costs about $40,000 a year for a homeless person to be on the streets.",Real,LIAR,mostly-true,1.0
Women in Ohio earn on average 77 cents for every dollar earned by a man.,Real,LIAR,mostly-true,1.0
The budget submitted by Obama will add more to the debt than the outstanding debt of the previous 43 presidents combined.,Real,LIAR,true,1.0
"Right now, we have the lowest gas tax of anywhere in the country.",Real,LIAR,mostly-true,1.0
"McCain, ""voted against renewable sources of energy, against biofuels, against solar power, against wind power.... """,Real,LIAR,mostly-true,1.0
Nearly half of African-American children under the age of 6 are living in abject poverty.,Real,LIAR,half-true,1.0
Says Mitch McConnell credits Republicans for recent economic improvements even though they took control of the Senate only days ago.,Real,LIAR,mostly-true,1.0
Our debt is already bigger than our economy.,Real,LIAR,half-true,1.0
Borrowing in my 2015-17 state budget is less than half that in my predecessors last budget and the lowest it has been in a decade.,Real,LIAR,mostly-true,1.0
"Says in the Legislature, (Mary Nolan) has been a party-line Democrat, showing a 100% track record in harmony with the American Civil Liberties Union.",Real,LIAR,true,1.0
"Low-flow toilets can cost homeowners up to $1,000 each.",Real,LIAR,half-true,1.0
I belong to the AFL-CIO.,Real,LIAR,true,1.0
"Mitt Romneys pledged to protect (oil companies) record profits and their billions in special tax breaks, too.",Real,LIAR,half-true,1.0
"We had bipartisan legislation that got through the Senate that would have prevented bonuses like AIG's ""and then somehow mysteriously disappeared.""",Real,LIAR,mostly-true,1.0
"In Galveston, Texas, they have allowed people to privatize part of their Social Security. And people are building wealth.",Real,LIAR,true,1.0
"In Libya, America spent $2 billion total and didnt lose a single life.",Real,LIAR,mostly-true,1.0
"If you take into account all the people who are struggling for work, or have just stopped looking, the real unemployment rate is over 15 percent.",Real,LIAR,true,1.0
Says Marco Rubio wrote and passed bipartisan legislation allowing the VA to fire negligent workers.,Real,LIAR,mostly-true,1.0
"Barack Obama ""wants to nearly double the capital gains tax"" increasing taxes on ""mutual funds, 401(k)s"" for ""policemen, firemen, nurses.""",Real,LIAR,half-true,1.0
Says Rick Scotts proposal for election reform only mandates 48 hours of early voting.,Real,LIAR,mostly-true,1.0
Ninety six percent of employers in the Granite State are considered small businesses.,Real,LIAR,true,1.0
Says Scott Walkers views on abortion are more restrictive than any Republican president in recent times.,Real,LIAR,true,1.0
"The so-called defense minister of the Peoples Republic of Donetsk ... actually posted a bragging social media posting of having shot down a military transport. And then when it became apparent it was civilian, they pulled it down from social media.",Real,LIAR,mostly-true,1.0
On how to respond to Puerto Ricos debt crisis.,Real,LIAR,true,1.0
Says Dick Cheney supported gay marriage soonerthan Hillary Clinton.,Real,LIAR,true,1.0
Says Texas ranks first in executions among the states.,Real,LIAR,true,1.0
"Since the governor took office, Oregons unemployment rate has dropped to its lowest point in three years.",Real,LIAR,half-true,1.0
"Under the new and little known 'global justice' initiative, the Obama administration has ordered FBI agents to ""read Miranda Rights to high-value terrorist detainees captured on the battlefield.""",Real,LIAR,half-true,1.0
More than 25 million Americans are unemployed. More than 50 million live without health insurance. Perhaps 100 million live in poverty.,Real,LIAR,half-true,1.0
Governor Deal has increased education spending every year hes been in office.,Real,LIAR,mostly-true,1.0
"For our next two years in my state, we will end with a structural surplus of $499 million.",Real,LIAR,mostly-true,1.0
"Already, the Affordable Care Act is helping to slow the growth of (Medicares) health care costs.",Real,LIAR,half-true,1.0
"Last year, we had zero percent growth in GDP in Virginia ...The only states that did worse than us were Alaska and Mississippi.",Real,LIAR,true,1.0
"Barack Obama ""passed laws moving people from welfare to work.""",Real,LIAR,mostly-true,1.0
Says the media distortedwhat happened with a baby at his rally.,Real,LIAR,true,1.0
Youth unemployment in minority communities is about 40 to 45 percent.,Real,LIAR,mostly-true,1.0
"You said you would vote against the Patriot Act, then you came to the Senate, you voted for it.",Real,LIAR,half-true,1.0
Says Marco Rubio said Social Security and Medicare haveweakened us as a people.,Real,LIAR,mostly-true,1.0
Peachtree and Pine is one of the leading sites for tuberculosis in the nation.,Real,LIAR,mostly-true,1.0
"While the sequester is in effect, the federal government is still funding a study on duck penises.",Real,LIAR,mostly-true,1.0
The Obama administration increased the deportation of illegal immigrants convicted of crimes by 70 percent.,Real,LIAR,true,1.0
"My opponent was on both the city of Chicago payroll and the state of Illinois payroll simultaneously, taking full salary, funding her full pension benefits both as a city worker and as a state worker for 10 years.",Real,LIAR,half-true,1.0
"There have been literally hundreds of new tax preferences and loopholes added to the code since 1986, last time we did this.",Real,LIAR,true,1.0
Says Austin Mayor Lee Leffingwell voted for a toll lane on MoPac.,Real,LIAR,true,1.0
"Of the approximately 6 million disenfranchised felons in the United States, one-quarter are Floridians.",Real,LIAR,mostly-true,1.0
"The governors not taking his own fiscal advice. ... In the first fiscal quarter of this year, weve seen a 13.5 percent increase in spending, double-digit spending out of the executive branch in the State of Texas.",Real,LIAR,half-true,1.0
"Enacting the Right-to-Carry Act would amount to expanding the rights of sex offenders, terrorists, child predators, and abusers to carry concealed weapons across state lines.",Real,LIAR,half-true,1.0
"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",Real,LIAR,half-true,1.0
"Today, home sales are up nearly 50 percent from where they were in the worst of the crisis.",Real,LIAR,mostly-true,1.0
"Secretary Clinton changes her position on (gun issues) every election year, it seems, having one position in 2000 and then campaigning against President Obama and saying we dont need federal standards.",Real,LIAR,half-true,1.0
"Legal prescription drugs statistically kill 100,000 people a year, (but) there are no documented deaths due to marijuana.",Real,LIAR,half-true,1.0
"In Florida, its not illegal for an immediate family member of state officials to prosper from legislation supported by a spouse.",Real,LIAR,true,1.0
The GOP platform that seeks further limits on abortion and is silent on an exception for rape has been there for more than 30 years.,Real,LIAR,true,1.0
"In Miami-Dade County, we spend at our school system over $20 million every year educating recent immigrants.",Real,LIAR,mostly-true,1.0
"For middle-class families under the Baucus plan, 13 percent of what they make could be deducted directly from their paychecks . . . the so-called Max Tax.",Real,LIAR,half-true,1.0
Says Rick Scott gave a deposition in which he invoked the Fifth Amendment 75 times about his dealings as head of Columbia/HCA hospital chain,Real,LIAR,mostly-true,1.0
In other states (where illegal immigrants have been allowed to get drivers licenses) their insurance premiums for everybody have gone down.,Real,LIAR,mostly-true,1.0
Says President Franklin Delano Roosevelt felt there wasnt a need in the public sector to have collective bargaining because the government is the people.,Real,LIAR,true,1.0
"When asked about equal pay for women, (Rubios) quote was that it was a waste of time.",Real,LIAR,half-true,1.0
A small business in my district needed 31 different permits and fees just to be able to expand.,Real,LIAR,mostly-true,1.0
Says New Hampshire has the third-highest property tax in the country.,Real,LIAR,true,1.0
The right-to-work states have much lower level of unemployment than the union states do.,Real,LIAR,mostly-true,1.0
The Redskins Training Camp deal generated $40 million in new private investment in the city.,Real,LIAR,half-true,1.0
The states overall revenues only returned this year to 2007 levels.,Real,LIAR,true,1.0
University of Wisconsin Systems reserves are in the mid- to low-range of comparable university systems.,Real,LIAR,half-true,1.0
